ward_id,ward_name
a0wOW00000AncKFYAZ,Phomching
a0wOW00000AncKGYAZ,Shangnyu
a0wOW00000AncKHYAZ,Tizit
a0wOW00000AncKIYAZ,Tobu
a0wOW00000AncKJYAZ,Wakching
a0wOW00000AncKKYAZ,MON
a0wOW00000AncKLYAZ,Aquqhnaqua
a0wOW00000AncKMYAZ,Kuhoboto
a0wOW00000AncKNYAZ,Nihokhu
a0wOW00000AncKOYAZ,Niuland
a0wOW00000AncKPYAZ,Nokhu
a0wOW00000AncKQYAZ,Noklak
a0wOW00000AncKRYAZ,Panso
a0wOW00000AncKSYAZ,Thonoknyu
a0wOW00000AncKTYAZ,Athibung
a0wOW00000AncKUYAZ,Jalukie
a0wOW00000AncKVYAZ,Kebai Khelma
a0wOW00000AncKWYAZ,Nsong
a0wOW00000AncKXYAZ,Pedi (Ngwalwa)
a0wOW00000AncKYYAZ,Peren
a0wOW00000AncKZYAZ,Tening
a0wOW00000AncKaYAJ,Chetheba
a0wOW00000AncKbYAJ,Chizami
a0wOW00000AncKcYAJ,Chozuba
a0wOW00000AncKdYAJ,Khezhakeno
a0wOW00000AncKeYAJ,Khuza
a0wOW00000AncKfYAJ,Kikruma
a0wOW00000AncKgYAJ,Pfutsero
a0wOW00000AncKhYAJ,Phek Sadar
a0wOW00000AncKiYAJ,Razieba
a0wOW00000AncKjYAJ,Sakraba
a0wOW00000AncKkYAJ,Sekruzu
a0wOW00000AncKlYAJ,Zuketsa
a0wOW00000AncKmYAJ,Chessore
a0wOW00000AncKnYAJ,Mangko
a0wOW00000AncKoYAJ,Shamator
a0wOW00000AncKpYAJ,Sotokur
a0wOW00000AncKqYAJ,Tsurungto
a0wOW00000AncKrYAJ,Chunlikha
a0wOW00000AncKsYAJ,Tseminyu
a0wOW00000AncKtYAJ,Tsogin
a0wOW00000AncKuYAJ,Chare
a0wOW00000AnfkEYAR,Chumukedima
a0wOW00000AnfkFYAR,Dhansiripar
a0wOW00000AnfkGYAR,Medziphema
a0wOW00000AnmIfYAJ,Chingmei
a0wOW00000AnmIgYAJ,Longkhim
a0wOW00000AnmIhYAJ,Ngoungchung
a0wOW00000AnmIiYAJ,Noksen
a0wOW00000AnmIjYAJ,Sangsangnyu
a0wOW00000AnmIkYAJ,Tuensang Sadar
a0wOW00000AnmIlYAJ,HAKUSHANG
a0wOW00000AnmImYAJ,Aitepyong
a0wOW00000AnmInYAJ,Baghty
a0wOW00000AnmIoYAJ,Bhandari
a0wOW00000AnmIpYAJ,Changpang
a0wOW00000AnmIqYAJ,Chukitong
a0wOW00000AnmIrYAJ,Englan
a0wOW00000AnmIsYAJ,Lotsu
a0wOW00000AnmItYAJ,Ralan
a0wOW00000AnmIuYAJ,Sanis
a0wOW00000AnmIvYAJ,Sungro
a0wOW00000AnmIwYAJ,Wokha Sadar
a0wOW00000AnmIxYAJ,Wozhuro
a0wOW00000AnmIyYAJ,Aghunato
a0wOW00000AnmIzYAJ,Akuhaito
a0wOW00000AnmJ0YAJ,Akuluto
a0wOW00000AnmJ1YAJ,Asuto
a0wOW00000AnmJ2YAJ,Atoizu
a0wOW00000AnmJ3YAJ,Ghathashi
a0wOW00000AnmJ4YAJ,Pughoboto
a0wOW00000AnmJ5YAJ,Saptiqa
a0wOW00000AnmJ6YAJ,Satakha
a0wOW00000AnmJ7YAJ,Satoi
a0wOW00000AnmJ8YAJ,Suruhuto
a0wOW00000AnmJ9YAJ,Tokiye
a0wOW00000AnmJAYAZ,V.K.
a0wOW00000AnmJBYAZ,Zunheboto Sadar
a0wOW00000AnmJCYAZ,ZUNHEBOTO
a0wOW00000AuhaqYAB,Saraswati Nagar St
a0wOW00000AuvibYAB,Pratap Nagar St
a0wOW00000CQwfnYAD,Bardez
a0wOW00000CQx5aYAD,Canacona
a0wOW00000CR9xyYAD,Bicholim
a0wOW00000CR9xzYAD,Pernem
a0wOW00000CRBjdYAH,Satari
a0wOW00000CRBrhYAH,Tiswadi
a0wOW00000CRBwXYAX,Dharbandora
a0wOW00000CRBy9YAH,Mormugao
a0wOW00000CRBzlYAH,Ponda
a0wOW00000CRC1NYAX,Quepem
a0wOW00000CRC2zYAH,Salcete
a0wOW00000CRC6DYAX,Sanguem
a0wOW00000CRNRSYA5,Ghasa
a0wOW00000CROCGYA5,Jhonthripal
a0wOW00000CRQZ0YAP,Vallabhnagar
a0wOW00000CRQlvYAH,Sayra
a0wOW00000CRQsNYAX,Gamri Ahara
a0wOW00000CRRziYAH,Badgaon
a0wOW00000CRTv8YAH,Gogunda
a0wOW00000CRUO6YAP,Jhadol
a0wOW00000CRV5eYAH,Kurabar
a0wOW00000CRbz6YAD,Kanod
a0wOW00000CRhDFYA1,Barapal
a0wOW00000CRhErYAL,Bhinder
a0wOW00000CRhI5YAL,Girwa
a0wOW00000CRhJhYAL,Kherwara
a0wOW00000CRhLJYA1,Kotra
a0wOW00000CRhQ9YAL,Mavli
a0wOW00000CRhUzYAL,Nayagaon
a0wOW00000CRhWbYAL,Phalasiyan
a0wOW00000CRhYDYA1,Rishabhdeo
a0wOW00000CRj70YAD,Aspur
a0wOW00000CRkW5YAL,Bichhiwara
a0wOW00000CRkZJYA1,Chikhali
a0wOW00000CRkavYAD,Dovda
a0wOW00000CRkflYAD,Dungarpur
a0wOW00000CRkhNYAT,Galiyakot
a0wOW00000CRkmDYAT,Obri
a0wOW00000CRkr3YAD,Paldewal
a0wOW00000CRkuHYAT,Sabla
a0wOW00000CRkvtYAD,Sagwara
a0wOW00000CRl3xYAD,Simalwara
a0wOW00000CX3oEYAT,Kalyan
a0wOW00000CX3pqYAD,Bhum
a0wOW00000CX7F8YAL,Junnar
a0wOW00000CX8CrYAL,Indapur
a0wOW00000CXArKYAX,Purandhar
a0wOW00000CXBdiYAH,Velhe
a0wOW00000CXEJqYAP,Shirur
a0wOW00000CXEjgYAH,Andheri
a0wOW00000CXILtYAP,Bhor
a0wOW00000CXJWQYA5,Pune City
a0wOW00000CXKHDYA5,Ambarnath
a0wOW00000CXLOYYA5,Jawhar
a0wOW00000CXM1GYAX,Murbad
a0wOW00000CXMdxYAH,Borivali
a0wOW00000CXMinYAH,Kurla
a0wOW00000CXN0YYAX,Palghar
a0wOW00000CXN29YAH,Ambegaon
a0wOW00000CXN5NYAX,Baramati
a0wOW00000CXNF3YAP,Daund
a0wOW00000CXNGfYAP,Haveli
a0wOW00000CXNN7YAP,Khed
a0wOW00000CXNQLYA5,Mawal
a0wOW00000CXNVBYA5,Mulshi
a0wOW00000CXNjhYAH,Bhiwandi
a0wOW00000CXNlJYAX,Shahapur
a0wOW00000CXNq9YAH,Ulhasnagar
a0wOW00000CXOKoYAP,Lohara
a0wOW00000CXOizYAH,Dahanu
a0wOW00000CXOpRYAX,Mokhada
a0wOW00000CXOr3YAH,Talasari
a0wOW00000CXOsfYAH,Vasai
a0wOW00000CXOvtYAH,Vikramgad
a0wOW00000CXOxVYAX,Wada
a0wOW00000CXPITYA5,Panvel
a0wOW00000CXUekYAH,Tuljapur
a0wOW00000CXW73YAH,Dharashiv
a0wOW00000CXWAHYA5,Kalamb
a0wOW00000CXWBtYAP,Omarga
a0wOW00000CXWJyYAP,Washi
a0wOW00000CXWLZYA5,Paranda
a0w7F000007SkqbQAC,P (North)
a0w7F000005GYaOQAW,Pune
a0w7F000007SkqNQAS,E
